id,lon,lat
nexp_pot1,41.794784,-87.630893
nexp_pot2,41.795172,-87.630895
nexp_0as,41.794810,-87.631036
nexp_0bs,41.794810,-87.630992
nexp_0cs,41.794811,-87.630948
nexp_0an,41.794838,-87.631036
nexp_0bn,41.794839,-87.630990
nexp_0cn,41.794842,-87.630948
nexp_1as,41.794919,-87.631039
nexp_1bs,41.794922,-87.630995
nexp_1cs,41.794928,-87.630951
nexp_1an,41.794948,-87.631040
nexp_1bn,41.794949,-87.630995
nexp_1cn,41.794950,-87.630951
nexp_2as,41.795028,-87.631042
nexp_2bs,41.795030,-87.630997
nexp_2cs,41.795032,-87.630954
nexp_2an,41.795055,-87.631043
nexp_2bn,41.795057,-87.630996
nexp_2cn,41.795058,-87.630954
nexp_3as,41.795138,-87.631044
nexp_3bs,41.795140,-87.631000
nexp_3cs,41.795147,-87.630957
nexp_3an,41.795167,-87.631046
nexp_3bn,41.795166,-87.631001
nexp_3cn,41.795165,-87.630957
